"id" "name" "terminalName" "lat" "long" "installed" "locked" "installDate" "removalDate" "temporary" "nbBikes" "nbEmptyDocks" "nbDocks"
"111" "Park Lane , Hyde Park" "001037" "51.5100172" "-0.157275636" "true" "false" "1279109160000" "" "false" "5" "23" "28"
"112" "Stonecutter Street, Holborn" "001061" "51.51580998" "-0.105270275" "true" "false" "1279115460000" "" "false" "42" "0" "42"
"113" "Gloucester Road (Central), South Kensington" "003435" "51.49646288" "-0.183289032" "true" "false" "1279116600000" "" "false" "1" "18" "19"
"114" "Park Road (Baker Street), The Regent's Park" "001050" "51.52451738" "-0.158963647" "true" "false" "1279119900000" "" "false" "17" "5" "22"
"116" "Little Argyll Street, West End" "000995" "51.51449962" "-0.141423695" "true" "false" "1279122360000" "" "false" "6" "14" "21"
"117" "Lollard Street, Vauxhall" "000998" "51.49288067" "-0.114934001" "true" "false" "1279124220000" "" "false" "8" "15" "25"
"118" "Rochester Row, Westminster" "003457" "51.49582705" "-0.13547809" "true" "false" "1279124520000" "" "false" "11" "0" "13"
"119" "Bath Street, St. Luke's" "000964" "51.52589324" "-0.090847761" "true" "false" "1279124760000" "" "false" "14" "3" "18"
"120" "The Guildhall, Guildhall" "001044" "51.51573534" "-0.093080779" "true" "false" "1279187040000" "" "false" "17" "0" "17"
"121" "Baker Street, Marylebone" "001086" "51.51891348" "-0.156166631" "true" "false" "1279189200000" "" "false" "15" "5" "22"
"122" "Norton Folgate, Liverpool Street" "001068" "51.52111369" "-0.078869751" "true" "false" "1279190040000" "" "false" "22" "1" "23"
"123" "St. John Street, Finsbury" "000992" "51.52836014" "-0.104724625" "true" "false" "1279191300000" "" "false" "8" "9" "18"
"124" "Eaton Square, Belgravia" "001069" "51.49654462" "-0.150905245" "true" "false" "1279191540000" "" "false" "15" "4" "20"
"125" "Borough High Street, The Borough" "000996" "51.50069491" "-0.094524319" "true" "false" "1279192200000" "" "false" "3" "18" "21"
"126" "Museum of London, Barbican" "001043" "51.51782144" "-0.096496865" "true" "false" "1279193340000" "" "false" "51" "0" "52"
"127" "Wood Street, Guildhall" "001063" "51.51700801" "-0.09388536" "true" "false" "1279193520000" "" "false" "14" "1" "17"
"128" "Emperor's Gate, South Kensington" "001116" "51.49536226" "-0.185296516" "true" "false" "1279194060000" "" "false" "10" "11" "22"
"129" "Golden Square, Soho" "003451" "51.5118973" "-0.137043852" "true" "false" "1279198500000" "" "false" "18" "0" "18"
"130" "Tower Gardens , Tower" "001071" "51.50950627" "-0.075459482" "true" "false" "1279198800000" "" "false" "15" "9" "24"
"131" "Eversholt Street , Camden Town" "001005" "51.53300545" "-0.136792671" "true" "false" "1279199280000" "" "false" "1" "15" "16"
